migpuma_name,net migration,median_real_wage,n_out,n_in,top_place_population,proportion_in_named_place
"Josephine, Coos & Curry Counties",193,22981.31914893617,3426,3619,168120,1
Capital Area COG,192,34081.083333333336,2327,2519,153403,1
Yolo County,191,24422.719298245614,2823,3014,200849,1
Spartanburg County,190,22920.428571428576,6845,7035,284307,1
"Bradley, McMinn & Polk Counties",190,25712.26229508198,3889,4079,168054,1
"Monroe, Randolph, Washington, Jefferson & Marion Counties",188,29368.59259259258,2784,2972,159413,1
St. Mary's & Calvert Counties,188,43829.27083333332,3170,3358,387776,1
"Carson City, Lyon, Douglas & Storey Counties",187,33996.84210526312,3958,4145,316522,1
Mesa County,186,29897.00000000002,5159,5345,128898,0.5586142338328726
Marin County,185,39082.12345679013,2457,2642,252409,1
St. Clair & Blount Counties,184,33969.58490566036,2181,2365,140915,1
Southwest Arkansas,184,25463.44827586206,1864,2048,107175,1
Vanderburgh County,183,23871.677083333336,4323,4506,179703,1
Baltimore City,182,26034.75862068968,12629,12811,620961,1
St. Croix & Dunn Counties,182,31766.940828402367,2664,2846,128202,1
Cass & Bates Counties,181,29340.666666666668,2204,2385,116527,1
Georgia Mountains Regional Commission,181,39656.72131147541,2479,2660,175511,1
South Central Planning & Development Commission 1,177,23678.462365591397,1707,1884,120806,1
Alamo Area COG,176,25010.8,2057,2233,118369,1
"Greene, Daviess, Owen, Orange & Martin Counties",175,34370.545454545456,2510,2685,162696,1
Monroe County,174,30406.53846153846,2520,2694,152021,1
Rowan County,172,20263.000000000004,2022,2194,138428,1
Kitsap County,172,27856.26666666667,5637,5809,251133,1
Yamhill & Polk Counties,171,29090.211267605635,2918,3089,349192,1
South Region,171,28687,3031,3202,140127,1
Rural Nevada,170,29683.1929824561,3950,4120,NA,NA
Belmont & Jefferson Counties,169,19882.000000000015,2266,2435,280218,1
Northwest Lower Peninsula (West),168,26914.34782608696,2230,2398,NA,NA
West Central Texas COG,168,22472.042857142827,2402,2570,195884,1
Coastal Regional Commission,167,27229.422222222223,2185,2352,137060,1
Acadiana Regional Development District 3,167,25079.030303030304,5629,5796,113860,0.5138596792100298
Georgia Mountains Regional Commission (Southeast),166,26880,1244,1410,NA,NA
"Wilkesboro High Country--Surry, Wilkes & Alleghany Counties",164,24101.526315789473,1133,1297,NA,NA
Macon County,164,23484.405797101448,2747,2911,110768,1
"Washington, Morgan, Noble & Monroe Counties",164,22885.714285714286,1539,1703,NA,NA
Rock County,163,20662.222222222223,3839,4002,160331,1
Norfolk City,160,21287.142857142862,10734,10894,208001,0.6147728011633337
"Maui, Kalawao & Kauai Counties",159,34216.46153846153,3976,4135,222015,1
Mohave & La Paz Counties,157,23425.838709677442,5712,5869,220675,1
"Des Moines, Lee, Henry & Louisa Counties",156,19774.666666666668,1587,1743,NA,NA
"Marion, Knox & Morrow Counties",151,26530.399999999998,2548,2699,162249,1
Pinal County,150,26550.764705882328,9802,9952,364910,0.768192764997137
Butler County,150,29787.135135135133,2131,2281,183862,1
Etowah County,148,28576.59999999993,2077,2225,104430,1
Middle Georgia Regional Commission,148,29597.720000000005,3520,3668,151910,1
Winnebago County,147,22693.0705882353,8433,8580,204179,0.5843185063717873
"Harrison, Marion, Taylor & Doddridge Counties",146,24111.843137254906,2058,2204,NA,NA
Rio Grande COG & Permian Basin Regional Planning Commission,143,49027.36363636364,2118,2261,110077,1
Honolulu County,142,32912.105263157915,17060,17202,953207,1
Wilson County,142,36532.588235294104,1877,2019,113993,1
North Central Kansas--Salina City,141,32129.367521367534,2845,2986,NA,NA
Outagamie County,141,28649.87356321839,2917,3058,176695,1
Monongalia & Preston Counties,140,24218.444444444438,1307,1447,129709,1
Washington County,139,28532.695652173916,3150,3289,147430,1
"Otsego, Schoharie, Oneida",139,21831.500000000022,5749,5888,227950,0.44838506628899644
"Ohio, Marshall, Hancock & Brooke Counties",138,26026.285714285692,1692,1830,264590,1
Alachua County,135,20236.42857142857,4600,4735,247336,1
New Hanover County,135,19492.733333333334,4645,4780,151695,0.5951530892484425
Eastern Plains New Mexico,133,16307.999999999985,2129,2262,NA,NA
Harford County,133,41277.074999999975,3326,3459,244826,1
Eastern Upper Peninsula,131,32640.57894736843,2234,2365,NA,NA
Johnson County,128,27970.658227848104,2900,3028,150934,1
Clark County,127,23591.47368421052,3383,3510,138333,1
Nash & Edgecombe Counties,124,19941,2998,3122,152392,1
Ellis County,124,29059.125,3319,3443,149610,1
Buffalo Trace & Gateway Area Development Districts,123,21908.58000000001,2054,2177,138130,1
Northwest Georgia Regional Commission,123,27042.780487804877,3423,3546,352438,1
Northeast Nebraska,122,27518.254437869822,3623,3745,184039,1
"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties",121,23459.241379310337,1808,1929,118693,1
"Floyd, Harrison & Washington Counties",120,24690.44999999997,2216,2336,142204,1
Johnston County,119,24569.518867924526,2729,2848,168878,1
