MSA Title,net migration,raw net migration,met2013,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,mean_real_wage,median_real_wage,n_in,n_out,MSA 2010 Population
"Ann Arbor, MI",0.002131726176147289,735,11460,1307,61381.16005781436,47022.30000000005,46652.806259033496,34254.705882352944,5505,4770,344791
"Muskegon, MI",0.002113968453086162,364,34740,1217,51572.16097832129,45575.34146341468,41440.95163979989,36027.84905660379,4242,3878,172188
"Lafayette-West Lafayette, IN",0.002041736665526862,412,29200,956,57852.60564334086,51784.24242424217,46719.67796839729,41055.57692307678,4152,3740,201789
"San Antonio-New Braunfels, TX",0.0020387321774294424,4368,41700,13734,57184.65514022071,47000,44890.505297519056,34943.249999998574,50922,46554,2142508
"Modesto, CA",0.0020254522764956177,1042,33700,3469,59011.1235670555,49676,43984.34192890076,35633.33333333334,11397,10355,514453
"Charleston, WV",0.0019993130113881573,454,16620,1279,51558.249899719216,42531,42815.10268752507,34537.69491525413,4245,3791,227078
"Lansing-East Lansing, MI",0.00183390943806084,851,29620,3078,56412.80414474217,47594,44442.1642677892,36060.45454545442,9703,8852,464036
"Lebanon, PA",0.00176689027311931,236,30140,998,62228.01106626741,55723.00000000002,49338.54511131363,43618.407407407416,2836,2600,133568
"Salisbury, MD-DE",0.0017201620109041685,643,41540,2756,58967.36394661004,48683.96666666671,45230.373729713334,36025.4736842108,6618,5975,373802
"Richmond, VA",0.0016869450484686297,2038,40060,7745,62525.03657025291,52268,48296.652639747816,38703.77777777764,25498,23460,1208101
"Deltona-Daytona Beach-Ormond Beach, FL",0.0016822268414285206,993,19660,4143,51393.39356469378,40844.28571428579,38842.819987362316,29084.20689655177,9934,8941,590289
"Tampa-St. Petersburg-Clearwater, FL",0.0015909498380127067,4428,45300,22202,56511.16310584281,45000,43057.522770627904,32603.85714285539,66827,62399,2783243
"Dallas-Fort Worth-Arlington, TX",0.0015849145391049846,10185,19100,44026,62803.17333392167,50177,48889.24873959583,37276.2608695649,159770,149585,6426214
"Medford, OR",0.0015796777654203125,321,32780,1226,48299.29615682055,38719.784313725555,34792.81217847416,26872.848484848535,5022,4701,203206
"Topeka, KS",0.0015777996322743405,369,45820,1709,57498.55989004201,49619,46202.9260872251,38153.85234899329,4575,4206,233870
"Harrisburg-Carlisle, PA",0.0015705901087401612,863,25420,3937,62624.33098617023,51520.69565217392,49142.49441142072,39437.96721311475,10645,9782,549475
"Lincoln, NE",0.0015422445946974585,466,30700,1408,59497.742188809345,51520,47056.41645318074,39726.727272727236,6507,6041,302157
"Amarillo, TX",0.001532153389988608,386,11100,2161,60191.71922541513,50000,48912.3283533857,38638.769230769234,7144,6758,251933
"Stockton-Lodi, CA",0.0015263254662880523,1046,44700,4796,62559.20585091913,52037.76923076948,46136.89770121643,36666.344827586225,14258,13212,685306
"Hickory-Lenoir-Morganton, NC",0.0015184803158439057,555,25860,2963,49375.8206852483,41216,40017.390792356375,32343.477272727287,7641,7086,365497
