state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,median_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Missouri,"Pulaski, Camden, Miller & Morgan Counties",0.002846841491932646,364,1400,320,56764.52212389381,127861,127861,1,1301,1665,58,-0.0012826428699916315
Washington,Snohomish County,0.0028049294088177733,2038,11700,3345,80835.91489361713,726578,726578,1,7198,9236,393,0.002389282361976278
Florida,St. Johns County,0.002764647168496582,734,10790,1223,80264.82758620597,265495,175488,0.6609841993257877,3212,3946,172,0.002143166537976233
Wisconsin,Winnebago County,0.002762984509069269,455,1501,545,67797.87234042553,164677,164677,1,1659,2114,62,0.002762984509069269
Texas,Houston City,0.0027527025547588887,11541,4600,17133,77762.44444444611,4192607,1847691,0.4407021693185171,62844,74385,2968,0.0011465419964237049
Florida,Collier County,0.0027438424757132863,851,2100,1076,55467.37837837849,310149,310149,1,2555,3406,182,0.002037730252233604
New Jersey,Sussex County,0.0027431281482832646,391,1600,944,88120.47222222226,142538,142538,1,962,1353,79,0.0024765325737698017
District of Columbia,District of Columbia,0.002743036654708579,1673,100,6630,88808.49382716062,609908,609908,1,25036,26709,1409,-0.0012067393770863802
Ohio,Delaware County,0.002729389539353733,497,4000,1352,100643.53488371972,182092,182092,1,2494,2991,133,0.0024822617138589285
North Carolina,Union County,0.002719358803818889,646,5390,1165,81743.00000000041,237556,120978,0.5092609742544916,1549,2195,107,0.002563606054993349
Virginia,Chesterfield County,0.0026805434280137656,835,4100,1828,80867.25581395344,311504,311504,1,3614,4449,196,0.0022888951666752274
Maine,Androscoggin County,0.0026232551091918102,277,600,274,62052.258064516136,105594,105594,1,895,1172,37,0.0021970945318862812
Montana,East Montana,0.0026211794505943743,654,690,912,61596.8,249506,143342,0.5745032183594784,1820,2474,103,0.0023165775572531323
Mississippi,East Central Region,0.002605447754395554,286,1500,309,58026,109770,109770,1,546,832,37,0.002605447754395554
Tennessee,Madison & Chester Counties,0.002597426692269873,280,3000,407,63444.02127659577,107799,107799,1,382,662,41,0.002523214501062162
Florida,Clay County,0.0025735353006818267,482,1900,502,70614.3,187291,187291,1,1560,2042,63,0.002386660330715304
Florida,Pinellas County,0.002569478343219094,2195,10300,4904,63263.53333333336,854259,854259,1,10758,12953,795,0.002239367685912586
Oregon,Portland City,0.0025597235283937466,1908,1325,5518,63044.67567567537,745393,588306,0.789256137366463,19074,20982,977,0.0014287764977669497
Texas,East Texas COG,0.002523953049572398,515,1500,676,66860.69696969698,204045,204045,1,1947,2462,110,0.0020191624396579187
Florida,Manatee County,0.0025107341831691822,790,8100,1233,63898.43750000016,314649,314649,1,2892,3682,192,0.002364539534528951
Tennessee,Hamilton County,0.0025066496696615715,818,2000,1624,65125.81818181818,326332,218931,0.6708842528467941,3914,4732,253,0.0020561881764583306
Texas,Central Texas COG,0.0025036930294685656,761,3500,930,64730.73437499999,303951,303951,1,3088,3849,175,0.0010988613296222089
California,Kings County,0.0024867327943096885,358,3100,240,64108.09090909095,143964,143964,1,590,948,37,0.0020213386680003336
Maryland,"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties",0.0024843808323287706,406,1300,774,72970.85714285725,163421,163421,1,1037,1443,85,0.00211111179101829
Florida,"Walton, Washington, Holmes & Bay Counties",0.00242995499940025,628,500,966,57689.71428571394,258441,258441,1,2313,2941,167,0.002166838852968376
California,Contra Costa County,0.0024178098617901123,2591,1300,5582,94005.88235294157,1071631,1071631,1,12292,14883,705,0.0016628858254380471
Nebraska,Sarpy County,0.0024161537133981477,420,702,786,80960.11764705903,173830,173830,1,2310,2730,93,0.0014036702525455904
Washington,Thurston County,0.0023983365232390537,609,11400,1113,63208.23809523801,253926,253926,1,3392,4001,159,0.0013665398580688863
Washington,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",0.002385946773504061,240,10600,584,53989.80000000002,100589,100589,1,1334,1574,89,6.163695831552158e-4
Kansas,Johnson County,0.0023562785337529367,1329,600,3733,83249.05882352829,564025,564025,1,11585,12914,456,0.0016311333717477063
Virginia,Northern Shenandoah Valley Regional Commission,0.002333118403637968,275,51084,485,81294.75268817204,117868,117868,1,875,1150,60,0.001985271659822853
California,Alameda County,0.002314872092735534,3555,100,11400,89639.33333333267,1535722,1535722,1,28200,31755,1702,0.0012593425112097112
Florida,Seminole County,0.002303803806469827,865,11700,2401,69382.32258064522,375466,375466,1,5498,6363,322,0.00140358913989549
Florida,Hillsborough County,0.0023001846478501713,2834,5700,7136,67134.84615384729,1232075,1232075,1,19998,22832,1213,0.0011086987399306048
Florida,Indian River County,0.002287751978376266,281,6100,398,64749.13953488373,122828,122828,1,764,1045,62,0.0019051030709610187
California,San Luis Obispo County,0.0022776947815400014,619,7900,996,66025.27999999998,271766,271766,1,2757,3376,154,0.0020090813420368995
Montana,Northwest Montana,0.002266549646810215,266,100,309,55034.328358208964,117359,117359,1,665,931,33,0.0021728201501376118
Wisconsin,Outagamie County,0.00218666305047971,387,1500,589,74234.8888888889,176982,176982,1,1312,1699,56,0.0017176888045111933
Virginia,Norfolk City,0.0021615390157792348,690,51187,1471,59165.40625000016,319217,212766,0.6665246525091082,4071,4761,266,0.0014723526629220876
Colorado,El Paso County,0.00215403013279987,1459,4100,3128,69833.06666666668,677335,558994,0.8252843866033794,10983,12442,511,0.0016683029815379392
New Mexico,Santa Fe County,0.0021228292596632958,288,500,983,53338.941176470595,135668,135668,1,2069,2357,141,0.0014815579208066751
Nevada,Rural Nevada,0.002113902785268391,341,300,346,73444.21875000001,161313,161313,1,828,1169,53,0.002113902785268391
Idaho,Central Idaho,0.0021080316003975145,210,300,422,50796.999999999985,99619,99619,1,507,717,50,0.0021080316003975145
Arizona,Yuma County,0.0021039695219368317,428,700,373,58202.10714285719,203425,203425,1,960,1388,67,0.0019859899225758877
Texas,Dallas County,0.0021009627945069676,5010,2300,11948,70002.84905660363,2384621,1147252,0.4811045444957501,43062,48072,2378,0.001240868045697828
Georgia,Atlanta Regional Commission,0.002100848840080472,519,5000,659,45655.32258064518,247043,247043,1,1753,2272,91,0.002027987030597912
Iowa,Des Moines City,0.002093750658530491,1391,1490,2476,75330.99999999921,664358,198953,0.2994665526719028,9311,10702,307,0.0018800104762793555
Indiana,"Warrick, Gibson & Posey Counties",0.0020912531432296737,247,3200,398,71609.59999999976,118111,118111,1,703,950,38,0.0020912531432296737
Washington,Spokane County,0.002088748897778463,1002,10500,1838,60050.21428571426,479713,479713,1,4521,5523,249,0.0016509871527350729
Oregon,"Columbia, Lincoln, Clatsop & Tillamook Counties",0.0020780782350711645,318,500,543,52874.78571428571,153026,153026,1,842,1160,73,0.00203233437455073
Arkansas,Saline County,0.0020707989366167624,222,1200,319,64759.28571428574,107205,107205,1,785,1007,33,0.0020707989366167624
South Dakota,Northeast South Dakota,0.0020666041347334385,271,300,463,49675.99999999999,131133,131133,1,963,1234,48,0.0019293389154522507
Iowa,Linn County,0.002058736444724083,445,1000,717,79388.70588235297,216152,216152,1,2445,2890,81,4.8114289944113404e-4
Mississippi,South Region,0.002048838470200609,393,2000,543,54014.46428571428,191816,191816,1,1716,2109,101,0.0015222921966884931
North Carolina,"Carteret, Beaufort & Pamlico Counties",0.0020408163265306124,247,4400,621,55055.999999999985,121030,121030,1,767,1014,80,0.0018342559695943156
