state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,median_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
South Carolina,"Orangeburg, Colleton, Barnwell, Hampton, Bamberg & Allendale Counties",4.546710253694922e-4,79,1300,470,52328.66666666679,173752,173752,1,704,783,36,4.374050370643216e-4
Washington,Clark County,4.388419217096724e-4,189,11100,1870,75122,430679,430679,1,3995,4184,220,1.7878744958542208e-4
Indiana,"Noble, DeKalb, LaGrange & Steuben Counties",4.3884120844330486e-4,70,600,401,68089.37499999997,159511,159511,1,615,685,38,4.3884120844330486e-4
Ohio,"Auglaize, Mercer & Van Wert Counties",4.376855872710733e-4,51,2600,396,69006.15384615387,116522,116522,1,591,642,45,-3.432828135459398e-4
South Dakota,West South Dakota,4.2673767581592243e-4,75,100,478,51081.66666666666,175752,175752,1,1765,1840,62,1.3655605626109517e-4
Vermont,Southwest Vermont,4.205954101569968e-4,55,400,711,58289.72727272724,130767,130767,1,1099,1154,59,4.205954101569968e-4
Tennessee,"Robertson, Dickson, Cheatham & Hickman Counties",4.199867675402008e-4,73,400,506,68288.6744186045,173815,173815,1,939,1012,56,3.049218997209677e-4
Missouri,St. Louis County,4.066412567485419e-4,394,1800,5450,77785.46808510623,968913,968913,1,14103,14497,566,5.263630480755238e-5
South Carolina,Spartanburg County,3.944184459913228e-4,111,300,928,65871.875,281427,281427,1,2203,2314,105,-1.421327733302064e-4
Washington,Benton & Franklin Counties,3.9334151483684195e-4,125,10700,1115,79728.768,317790,108084,0.34011139431700177,2800,2925,145,2.7061896220774727e-4
Ohio,Stark County,3.8170640457845455e-4,151,3190,1228,71281.53846153885,395592,395592,1,2503,2654,123,2.1992355760480496e-4
California,Fresno County,3.8168688153093517e-4,350,1900,2446,66201.12499999997,916982,916982,1,5272,5622,273,2.0392984813224252e-4
Pennsylvania,Bucks County,3.788003557429428e-4,230,3000,3046,95294.88888888864,607180,607180,1,6905,7135,283,-4.7432392371290225e-4
Mississippi,Three Rivers Region,3.7029631110814873e-4,50,400,425,56067.66666666666,135027,135027,1,1407,1457,61,3.184548275530079e-4
Maine,Northeast Maine,3.681262374513725e-4,37,100,441,45980.45070422535,100509,100509,1,657,694,41,2.785820175307684e-4
Michigan,Macomb County,3.6692105735011747e-4,309,3000,2399,75750.98275862072,842143,842143,1,6445,6754,231,-6.4122126527205e-5
Kansas,Wyandotte County,3.6068994834404666e-4,56,500,350,54411.363636363654,155258,155258,1,1045,1101,49,2.383130015844594e-4
Florida,Pasco County,3.539744695913807e-4,160,10100,1875,66225.22580645212,452010,452010,1,3508,3668,209,2.0796000088493618e-4
Kentucky,KIPDA Area Development District,3.533080174901163e-4,258,1700,4749,68135.60869565218,730241,730241,1,10539,10797,595,3.0127040251095186e-5
Pennsylvania,Allegheny County,3.478857203731199e-4,418,1700,6704,73132.32727272726,1201544,904356,0.752661575439601,20328,20746,849,-5.551190801169162e-4
Pennsylvania,Chester County,3.455077960218393e-4,172,3400,3193,102788.81395348841,497818,497818,1,6956,7128,277,-5.403581228481092e-4
Illinois,Rock Island County,3.324091886386783e-4,47,105,502,67768.0909090909,141392,141392,1,1165,1212,60,-2.475387574968881e-4
Indiana,Hendricks County,3.30937346941477e-4,50,2200,573,83722.37209302327,151086,151086,1,1594,1644,51,3.30937346941477e-4
Oklahoma,Cleveland County,3.3072138602326323e-4,88,900,726,62699.600000000006,266085,266085,1,3477,3565,94,-4.359509179397561e-4
Illinois,Lake County,3.260299683222233e-4,222,3300,4367,99071.80769230778,680919,680919,1,9244,9466,446,-6.138762466607628e-4
Pennsylvania,"Clearfield, McKean, Elk, Potter & Cameron Counties",3.258409314395769e-4,56,300,609,61912.88888888887,171863,171863,1,911,967,56,3.258409314395769e-4
California,Merced County,3.1597074110937325e-4,80,4700,430,64794.47499999995,253188,253188,1,761,841,44,1.1848902791601498e-4
Georgia,Northwest Georgia Regional Commission,3.1513134674532344e-4,50,2500,401,66711.59999999999,158664,158664,1,860,910,50,3.1513134674532344e-4
Nebraska,North Central & Northwest Nebraska,3.1121900036457084e-4,35,100,442,55001.388888888934,112461,112461,1,943,978,53,2.0451534309671798e-4
Connecticut,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns",3.1045327332006117e-4,269,300,5282,84165.7037037035,866475,157911,0.18224530424997837,11124,11393,537,-6.68224703540206e-4
Indiana,Lake County,3.0827045594668387e-4,147,100,1368,68240.00000000007,476854,476854,1,3372,3519,131,2.8310552076736274e-4
Georgia,Three Rivers Regional Commission,3.0096308186195825e-4,33,2300,229,63337.81818181818,109648,109648,1,570,603,24,3.0096308186195825e-4
Texas,Coastal Bend COG,2.996128304104114e-4,103,6600,1044,64384.032258064406,343777,343777,1,3161,3264,166,1.7453174587014256e-5
Florida,Hernando County,2.9503320628842205e-4,49,5301,389,57245.54545454548,166083,166083,1,737,786,50,-5.418977258358773e-5
Georgia,Georgia Mountains Regional Commission,2.852485737571312e-4,35,3200,321,55732.344827586225,122700,122700,1,566,601,37,2.852485737571312e-4
Virginia,Mount Rogers Planning District Commission,2.812711291413117e-4,52,51020,553,58938.877192982465,184875,184875,1,1055,1107,55,2.812711291413117e-4
New Mexico,Central Southeast New Mexico,2.7788137390401393e-4,38,1100,287,54427.704545454544,136749,136749,1,1172,1210,53,1.0237734828042619e-4
Texas,Brazos Valley COG,2.726679585934229e-4,56,3602,973,58208.66000000004,205378,205378,1,4391,4447,205,-0.0018307705791272679
Oregon,North Central Oregon,2.702678354249061e-4,30,200,413,54810.71875,111001,111001,1,778,808,60,9.909820632246556e-5
New York,St. Lawrence County,2.7016561151986166e-4,30,100,506,60308.207547169804,111043,111043,1,1094,1124,64,1.9812144844789855e-4
Illinois,McHenry County,2.633172709798036e-4,80,3600,1381,90048.36231884062,303816,303816,1,2004,2084,104,1.0203544250467388e-4
Michigan,Northwest Lower Peninsula,2.6226068712300026e-4,38,400,758,56313.99999999998,144894,144894,1,894,932,68,2.2085110494568443e-4
Connecticut,Middlesex County,2.598559655505234e-4,42,700,1014,92448.79310344807,161628,161628,1,2127,2169,100,-1.9798549756230356e-4
Indiana,Kosciusko & Marshall Counties,2.5703637064644646e-4,32,800,412,69014.63636363635,124496,124496,1,737,769,44,2.2490682431564065e-4
Virginia,Arlington County,2.5274341488520853e-4,55,1300,2982,95158.73684210531,217612,217612,1,14681,14736,673,-0.006428873407716486
Idaho,Kootenai County,2.497096629712279e-4,63,190,818,55291,252293,137119,0.5434910996341555,2327,2390,115,9.512749065570587e-5
Minnesota,Dakota County,0.00024044890338125135,98,1500,1653,89131.10447761191,407571,407571,1,5457,5555,152,-1.962848190867358e-4
Tennessee,"Bradley, McMinn & Polk Counties",2.4038606001237987e-4,40,1900,361,63073.91999999994,166399,166399,1,798,838,35,1.7427989350897542e-4
Ohio,Greene County,2.393959855134737e-4,39,4700,777,77144.61016949154,162910,162910,1,2588,2627,104,-4.1740838499785155e-4
Oregon,Douglas County,2.384563291078872e-4,25,1000,175,54449.070175438595,104841,104841,1,660,685,32,2.384563291078872e-4
Kentucky,Barren River Area Development District,2.3816895705813703e-4,40,400,347,61766.66666666667,167948,167948,1,612,652,31,1.607640460142425e-4
Iowa,South Central Iowa,2.340232338266543e-4,25,1800,374,55755.57142857138,106827,106827,1,401,426,28,2.340232338266543e-4
Virginia,Central Shenandoah Planning District Commission,2.2836404932663465e-4,37,51080,471,60442.69999999999,162022,162022,1,1132,1169,49,2.2836404932663465e-4
Indiana,"Huntington, Whitley, Adams & Wells Counties",2.257472233091533e-4,30,900,396,75106.78125,132892,132892,1,355,385,23,3.762453721819222e-5
Iowa,"Dubuque, Buchanan, Jackson & Delaware Counties",2.2106631989596878e-4,34,700,544,72320.55445544554,153800,153800,1,1338,1372,65,-4.811443433029909e-4
Virginia,Roanoke Valley-Alleghany Regional Commission,2.1831577070079362e-4,71,51000,1267,69424.49999999988,325217,325217,1,3943,4014,172,-5.934499119049742e-4
Wyoming,"Campbell, Goshen, Platte, Johnson, Washakie, Weston, Crook & Niobrara Counties",2.169882037321971e-4,22,200,298,72658.80000000006,101388,101388,1,638,660,29,2.169882037321971e-4
Virginia,Thomas Jefferson Planning District Commission,2.1073927337098542e-4,50,51001,1385,70996.8888888889,237260,237260,1,4101,4151,199,-0.001053696366854927
California,"Colusa, Glenn, Tehama & Trinity Counties",2.1015290725531896e-4,25,1100,256,57684.76000000003,118961,118961,1,384,409,22,2.1015290725531896e-4
Florida,Escambia County,2.0887494731502444e-4,56,3300,1101,53296.53448275868,268103,268103,1,2849,2905,161,-4.8115836077925275e-4
Florida,Nassau & Baker Counties,2.0358513421349974e-4,20,8900,229,66011.3103448276,98239,98239,1,489,509,29,-3.6645324158429953e-4
Texas,Johnson County,2.0115371388155291e-4,31,2102,403,77528,154111,154111,1,900,931,47,2.0115371388155291e-4
Massachusetts,Barnstable County,1.9959820014492564e-4,46,4790,1324,64506.33333333325,230463,125309,0.543727192651315,1956,2002,106,7.810364353497091e-5
Alabama,Mobile City,1.9809722403232112e-4,76,2700,1169,63619.032258064435,383650,199514,0.5200417046787437,3143,3219,146,-1.9288413918936532e-4
New York,Chemung,1.91173807176061e-4,38,2400,948,69188.38095238102,198772,100931,0.5077727245286057,1634,1672,100,8.552512426297466e-5
West Virginia,"Ohio, Marshall, Hancock & Brooke Counties",1.903568397591986e-4,24,100,473,63328.54545454538,126079,126079,1,781,805,44,-2.3794604969899825e-5
South Carolina,Anderson County,1.883350642222569e-4,35,200,464,71582.93478260872,185839,185839,1,1069,1104,48,-7.371972513842627e-4
Wyoming,"Natrona, Carbon & Converse Counties",1.870015240624211e-4,20,400,371,65195.11111111111,106951,106951,1,978,998,49,8.41506858280895e-5
Ohio,"Defiance, Williams, Henry & Paulding Counties",1.845521801229278e-4,23,100,375,60983.9787234043,124626,124626,1,519,542,32,1.845521801229278e-4
New York,Nassau County,1.7878924849693193e-4,231,3200,7969,100739.59374999956,1292024,1292024,1,10458,10689,521,-1.2538466777706916e-4
Maine,Northwest Maine,1.7599312922823493e-4,25,200,500,50109.857142857145,142051,142051,1,532,557,30,1.7599312922823493e-4
Georgia,Northwest Georgia Regional Commission,1.7370513043211706e-4,17,2700,225,68990.08000000005,97867,97867,1,374,391,18,6.130769309368837e-5
Ohio,Summit County,1.7223397028007158e-4,90,1800,2374,74055.96774193548,522545,522545,1,5350,5440,250,-2.8131548479078355e-4
Alabama,St. Clair & Blount Counties,1.6851545213428484e-4,23,800,243,69242.14705882352,136486,136486,1,595,618,25,1.6851545213428484e-4
Minnesota,Southwest Minnesota,1.645591546856054e-4,19,2100,618,63177.63157894736,115460,115460,1,474,493,40,1.645591546856054e-4
California,Madera County,1.5675768112637518e-4,22,3900,199,62711.31428571429,140344,140344,1,229,251,12,1.2825628455794333e-4
Georgia,Northwest Georgia Regional Commission,1.5475085112968121e-4,26,2600,435,65120,168012,168012,1,588,614,33,1.5475085112968121e-4
Maryland,Baltimore County,1.5368143236175338e-4,121,500,4719,80800.14583333333,787343,787343,1,10352,10473,488,-4.3437231295636084e-4
Maryland,Harford County,1.5355245683930943e-4,37,600,1396,90513.52941176473,240960,240960,1,2321,2358,120,-4.150066401062417e-5
Kansas,North Central Kansas,1.529615440772595e-4,22,200,604,56437.9999999996,143827,143827,1,1049,1071,58,-3.8935665765120594e-4
Michigan,"Tuscola, Sanilac & Huron Counties",1.5146442180449929e-4,19,1600,493,60211.07692307691,125442,125442,1,458,477,38,1.5146442180449929e-4
Ohio,"Athens, Gallia & Meigs Counties",1.514058478282167e-4,17,5000,339,53412.244444444455,112281,112281,1,801,818,45,1.514058478282167e-4
Nevada,"Carson City, Lyon, Douglas & Storey Counties",1.4720051386361204e-4,22,200,475,67867.65957446804,149456,149456,1,1312,1334,61,-2.6763729793384007e-5
New York,Columbia & Greene Counties,1.4561410321127635e-4,15,2100,550,66838.92857142871,103012,103012,1,608,623,45,-1.9415213761503513e-5
Florida,Marion County,1.4227716253015118e-4,43,8300,546,58227.928571428485,302227,302227,1,1527,1570,66,-4.466841149202421e-4
Pennsylvania,Lycoming & Clinton Counties,1.411129104873771e-4,21,900,692,66757.63636363634,148817,148817,1,803,824,56,1.411129104873771e-4
West Virginia,"Berkeley, Jefferson, Mineral, Hampshire & Morgan Counties",1.391457349587949e-4,31,400,658,70391.84905660347,222788,222788,1,1481,1512,61,8.528286981345495e-5
North Carolina,Wilson & Greene Counties,1.33625253117066e-4,13,1000,249,54401.700000000004,97287,97287,1,441,454,20,1.33625253117066e-4
Georgia,Southwest Georgia Regional Commission,1.3102496462325956e-4,15,900,404,56632.526315789466,114482,114482,1,979,994,54,2.620499292465191e-5
Iowa,Woodbury & Plymouth Counties,1.305760033949761e-4,16,2000,353,72883,122534,122534,1,871,887,23,-2.0402500530465015e-4
Tennessee,"Campbell, Claiborne, Scott, Morgan & Hancock Counties",1.1908913821995764e-4,14,900,196,59669.32432432432,117559,117559,1,208,222,18,1.1908913821995764e-4
Indiana,"Greene, Daviess, Owen, Orange & Martin Counties",1.1904090621456183e-4,19,2700,370,63100.42307692304,159609,159609,1,585,604,33,1.1904090621456183e-4
Texas,West Central Texas COG,1.1891279728199321e-4,21,2600,604,57880.00000000006,176600,176600,1,782,803,59,1.1891279728199321e-4
Idaho,Bingham,1.1178966980643826e-4,27,1190,887,55076.40350877195,241525,121803,0.5043080426456888,2211,2238,109,-1.2421074422937583e-4
New York,NYC-Brooklyn Community District 18,1.1036571400089955e-4,279,4000,13752,66298.06451612915,2527959,201088,0.07954559389610354,37861,38140,1933,-6.653588922921614e-4
Tennessee,"Greene, Carter, Unicoi & Johnson Counties",1.0382261905534394e-4,16,1200,364,53226.615384615485,154109,154109,1,737,753,38,-5.191130952767197e-5
Ohio,Butler County,9.249241842448975e-5,33,5400,1357,90967.0606060607,356786,356786,1,3190,3223,126,-1.5135123014916503e-4
Maryland,Anne Arundel County,8.506389037853431e-5,46,1200,2892,97788.00000000009,540770,540770,1,9379,9425,362,-5.788042975756791e-4
Wisconsin,"Grant, Green, Iowa, Richland & Lafayette Counties",8.337212453016334e-5,12,800,891,62852.92307692325,143933,143933,1,907,919,79,4.168606226508167e-5
Indiana,"Clay, Sullivan, Parke, Fountain, Vermillion & Warren Counties",7.601527907109328e-5,8,1600,304,61977.04878048781,105242,105242,1,348,356,24,7.601527907109328e-5
Florida,Miami-Dade County,7.043486056031998e-5,165,8690,11112,57146.24000000052,2342590,2248735,0.9599353706794617,31295,31460,1618,-0.0013852189243529598
South Carolina,Aiken & Edgefield Counties,6.669149072154635e-5,12,1500,632,72783.26315789473,179933,179933,1,1269,1281,61,-4.3905231391684683e-4
North Dakota,Northeast North Dakota,6.578143647862573e-5,7,400,469,62308.65789473684,106413,106413,1,954,961,51,-0.0016633306081023935
Texas,North Texas Regional Planning Commission,6.07100034908252e-5,8,700,466,58186.92307692308,131774,131774,1,666,674,47,-3.339050191995386e-4
Arizona,Mohave & La Paz Counties,5.182714234560223e-5,11,600,281,49975.03999999998,212244,212244,1,1251,1262,53,-4.2404025555492736e-5
West Virginia,"Harrison, Marion, Taylor & Doddridge Counties",4.9574017549202214e-5,7,200,548,70348.375,141203,141203,1,679,686,40,4.9574017549202214e-5
Kentucky,Pennyrile Area Development District,3.8308305240576155e-5,4,200,238,62195.82352941178,104416,104416,1,534,538,25,-1.3407906834201654e-4
Wisconsin,Central Sands,3.771917535105775e-5,7,1601,748,66871.99999999983,185582,185582,1,1501,1508,78,1.0776907243159358e-5
Oklahoma,Tulsa County,3.271237967296344e-5,30,1290,3092,65839.0967741933,917084,513705,0.5601504333299894,10420,10450,424,-6.051790239498235e-4
Mississippi,South Region,2.9903635534490104e-5,4,1900,229,56845.28888888895,133763,133763,1,460,464,17,-2.018495398578082e-4
Oklahoma,"Cherokee, Sequoyah & Adair Counties",2.932551319648094e-5,3,200,240,54102.999999999985,102300,102300,1,297,300,13,2.932551319648094e-5
Virginia,Virginia Beach City,2.7428446041389525e-5,12,51100,2338,67695.19999999997,437502,437502,1,7429,7441,356,-0.0011177091761866232
Minnesota,Wright County,2.3578788521845746e-5,3,1800,382,88755.62790697673,127233,127233,1,844,847,27,-5.501717321764008e-5
Illinois,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties",1.9102561653517736e-5,2,700,308,60276.857142857174,104698,104698,1,337,339,27,-3.1519226728304265e-4
Colorado,Pueblo County,1.4356842183847979e-5,5,690,1279,50273.20000000005,348266,148054,0.4251175825374857,3005,3010,158,-3.158505280446555e-5
Tennessee,Memphis City,1.2685876928541609e-5,11,3200,3784,66596.50000000007,867106,439113,0.5064121341566084,10824,10835,465,-4.232469847977064e-4
Tennessee,"Lawrence, Giles, Wayne, Lewis & Perry Counties",9.456890763454792e-6,1,2800,228,43186.444444444445,105743,105743,1,327,328,25,-2.647929413767342e-4
Texas,Hidalgo County,3.9331882423892805e-6,3,6800,1363,61079.23255813943,762740,762740,1,3304,3307,124,-2.1370322783648425e-4
South Carolina,"Greenwood, Abbeville & McCormick Counties",0,0,1600,255,50880.604166666664,98277,98277,1,503,503,23,-1.1192852854686244e-4
Oregon,"Umatilla, Union, Baker & Wallowa Counties",-8.21604923056699e-6,-1,100,430,52994.76923076922,121713,121713,1,830,829,56,-8.21604923056699e-6
New York,Niagara County,-9.702238306377281e-6,-2,1100,727,66099.65217391303,206138,206138,1,1253,1251,60,-1.067246213701501e-4
New Mexico,Southwest New Mexico,-1.1083402604599612e-5,-1,900,213,47836.94736842106,90225,90225,1,669,668,27,-4.655029093931837e-4
Minnesota,St. Louis,-1.6774723846108682e-5,-6,390,1404,66080,357681,131686,0.36816604739977804,2527,2521,129,-2.823745180761628e-4
Florida,Volusia County,-1.8057745057143734e-5,-10,3590,1691,56562.39999999997,553779,456028,0.8234837362919143,3681,3671,216,-1.8780054859429484e-4
New York,NYC-Queens Community District 7,-2.0467258201439686e-5,-44,4100,10173,65800,2149775,235912,0.10973799583677361,23145,23101,1118,-8.856740821713901e-4
California,Santa Barbara County,-2.3935183523019664e-5,-10,8300,1711,69008.45454545454,417795,417795,1,5653,5643,299,-9.334721573977669e-4
Iowa,"Clinton, Muscatine, Jones & Cedar Counties",-3.1035900778225214e-5,-4,800,363,64864.00000000001,128883,128883,1,787,783,34,-3.1035900778225214e-5
Illinois,Sangamon County,-3.10486687883257e-5,-6,1300,1093,65815.2,193245,193245,1,3023,3017,132,-1.552433439416285e-4
Kentucky,Bluegrass Area Development District,-3.342720807601347e-5,-4,2100,346,70686.53333333333,119663,119663,1,944,940,42,-3.092016747031246e-4
Virginia,Henrico County,-3.7038408829956664e-5,-11,51200,1914,71558.07317073159,296989,296989,1,6008,5997,259,-5.690446447511524e-4
Minnesota,Anoka County,-3.877633808194335e-5,-13,1100,939,85314.88372092992,335256,335256,1,2705,2692,77,-1.1334621900875748e-4
Wisconsin,Sauk & Columbia Counties,-4.3007793012093793e-5,-5,1000,563,63795.0350877193,116258,116258,1,698,693,36,-1.2042182043386262e-4
Texas,Cameron County,-4.424433282148713e-5,-17,6700,829,61277.91304347842,384230,384230,1,1392,1375,68,-4.1121203445852744e-4
New York,Chautauqua County,-5.529007543146005e-5,-7,2600,552,59455.99999999997,126605,126605,1,724,717,52,-2.9224754156628887e-4
Louisiana,Acadiana Regional Development District 4,-6.4279450318872e-5,-14,1200,884,69074.24999999999,217799,110689,0.5082162911675444,2873,2859,106,-3.076230836688874e-4
Texas,Hunt & Rockwall Counties,-6.564734247621776e-5,-11,900,673,85658.66666666651,167562,167562,1,1561,1550,84,-4.893710984590779e-4
Ohio,Tuscarawas & Harrison Counties,-6.621138457463915e-5,-7,3000,286,65179.23636363635,105722,105722,1,470,463,29,-6.621138457463915e-5
Illinois,"Montgomery, Bond, Clinton, Fayette & Effingham Counties",-6.707857882850989e-5,-9,501,521,67963.09090909091,134171,134171,1,792,783,45,-2.1614208733630963e-4
Arkansas,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",-6.842706701062673e-5,-10,300,275,56060.36734693875,146141,146141,1,550,540,25,-1.8475308092869214e-4
Oklahoma,Southeast Oklahoma,-6.973095473298855e-5,-12,300,418,59902.00000000005,172090,172090,1,476,464,29,-1.394619094659771e-4
Illinois,Chicago City,-7.454248281714527e-5,-367,3400,26100,72183.38709677412,4923367,2473823,0.5024656906543835,97607,97240,4007,-8.715580211672215e-4
North Carolina,"Rutherford, Cleveland",-7.691248977873491e-5,-19,2690,763,62268.83720930226,247034,125647,0.508622294906774,1144,1125,57,-2.1454536622489211e-4
Mississippi,South Delta Region,-7.766051998032601e-5,-9,800,436,47888,115889,115889,1,716,707,45,-1.3806314663169066e-4
Utah,Washington County,-8.166042871725076e-5,-12,53001,294,54702.260869565165,146950,146950,1,975,963,42,-3.198366791425655e-4
Oregon,Yamhill & Polk Counties,-8.229243203526819e-5,-14,1200,559,66153.19672131148,170125,170125,1,1615,1601,63,-3.997060984570169e-4
Connecticut,New Haven County,-8.259622460166094e-5,-66,900,4191,79568.99999999987,799068,123943,0.1551094525121767,9409,9343,474,-8.159505824285292e-4
Georgia,Georgia Mountains Regional Commission,-8.462146000225657e-5,-15,3400,620,67096,177260,177260,1,982,967,64,-5.302944826808078e-4
Vermont,Northeast Vermont,-8.46262341325811e-5,-12,200,857,52720.4399999999,141800,141800,1,1407,1395,69,-2.3272214386459804e-4
Pennsylvania,Monroe County,-8.573840552946763e-5,-13,600,322,72331.75000000003,151624,151624,1,822,809,23,-1.9785785891415607e-4
Pennsylvania,"Venango, Jefferson, Clarion & Forest Counties",-8.962364961289477e-5,-13,1300,694,56254.13333333334,145051,145051,1,741,728,50,-8.962364961289477e-5
North Dakota,South Central North Dakota,-9.00650720145305e-5,-12,300,470,72372.75999999998,133237,133237,1,1676,1664,44,-9.00650720145305e-5
Minnesota,"Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties",-9.0150690346248e-5,-13,100,791,61479.66666666668,144203,144203,1,1373,1360,78,-5.201001366129692e-4
Hawaii,Honolulu County,-9.178115916364688e-5,-85,300,4219,68330.52083333307,926116,926116,1,13418,13333,624,-0.0012061124092446302
New Jersey,Burlington County,-9.955846976316661e-5,-43,2000,2762,89978.99999999991,431907,431907,1,4655,4612,226,-8.173055773580887e-4
Virginia,West Piedmont Planning District Commission,-1.015950421619425e-4,-19,51097,486,62045.03448275864,187017,187017,1,893,874,53,-1.015950421619425e-4
Georgia,Coastal Regional Commission,-1.025340559542991e-4,-14,300,454,63424.58108108108,136540,136540,1,999,985,47,-1.025340559542991e-4
Georgia,Southern Georgia Regional Commission,-1.1114625992835341e-4,-13,700,280,60001.68000000001,116963,116963,1,473,460,20,-1.1114625992835341e-4
Louisiana,Capital Region Planning Commission 7,-1.1224884321331022e-4,-18,1800,300,59663.2,160358,160358,1,952,934,31,-1.1224884321331022e-4
Texas,Ellis County,-1.2352902932189063e-4,-19,2101,524,69877.9696969697,153810,153810,1,1220,1201,57,-4.941161172875625e-4
Mississippi,North Delta Region,-1.2398871702675056e-4,-20,100,531,71138.00000000001,161305,161305,1,1197,1177,47,-4.587582529989771e-4
Illinois,"Jo Daviess, Carroll, Whiteside & Lee Counties",-1.255118530256201e-4,-16,104,484,66132.5172413793,127478,127478,1,448,432,43,-5.098919029165817e-4
New Jersey,Gloucester County,-1.2758085436645475e-4,-36,2200,1399,89367.75000000007,282174,282174,1,2185,2149,103,-2.728812718393615e-4
Alabama,Calhoun County,-1.3356722438403248e-4,-15,1100,227,51951.27272727273,112303,112303,1,758,743,23,-4.185106364033018e-4
Tennessee,"Rhea, Marion, Sequatchie, Grundy, Bledsoe & Meigs Counties",-1.3503781058696435e-4,-15,2100,207,57027.9705882353,111080,111080,1,410,395,16,-3.420957868203097e-4
Missouri,"Cape Girardeau, Scott & Bollinger Counties",-1.3729718379247127e-4,-17,2200,411,61730.625000000015,123819,123819,1,914,897,36,-1.3729718379247127e-4
Maryland,Baltimore City,-1.4257123660944214e-4,-80,800,3315,63511.46808510614,561123,561123,1,10759,10679,595,-0.0011744305615702796
Georgia,Northeast Georgia Regional Commission,-1.4384464778039718e-4,-18,3800,456,69337.67105263157,125135,125135,1,527,509,33,-1.4384464778039718e-4
New Jersey,Middlesex County,-1.4967893250469758e-4,-121,900,5005,89456.69411764783,808397,808397,1,11754,11633,531,-0.0015388478680648245
New York,Tompkins County,-1.4979178941271632e-4,-15,2300,619,60737.522727272735,100139,100139,1,2658,2643,126,-0.0020870989324838474
Tennessee,"Roane, Loudon & Monroe Counties",-1.5068561956903912e-4,-21,1800,291,77448.79999999999,139363,139363,1,418,397,18,-1.5068561956903912e-4
Ohio,Montgomery County,-1.730709248453773e-4,-91,4600,2041,68174.42201834862,525796,525796,1,5596,5505,255,-5.078015047661071e-4
Arkansas,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",-1.7761288285443637e-4,-18,700,196,46795.39436619719,101344,101344,1,355,337,23,-1.7761288285443637e-4
Tennessee,"Warren, Macon, Smith, DeKalb, Cannon & Trousdale Counties",-1.8555848887914238e-4,-22,600,257,58070.62500000007,118561,118561,1,249,227,17,-1.8555848887914238e-4
Indiana,Vanderburgh County,-1.911153831020275e-4,-34,3300,604,60091.46153846152,177903,177903,1,1836,1802,72,-3.316414000888124e-4
Kentucky,Lake Cumberland Area Development District,-1.9218514509978455e-4,-19,600,182,60190.81481481482,98863,98863,1,295,276,13,-1.9218514509978455e-4
Delaware,Kent County,-1.940158244156789e-4,-32,200,501,69399.67045454544,164935,164935,1,1392,1360,55,-5.638584897080668e-4
Kentucky,Green River Area Development District,-1.9619017367501564e-4,-21,1400,225,66413.88679245289,107039,107039,1,275,254,18,-1.9619017367501564e-4
Missouri,"Johnson, Lafayette, Ray, Clinton & Caldwell Counties",-2.0692706177843106e-4,-29,800,485,56818.8064516129,140146,140146,1,900,871,51,-0.0010132290611219728
Massachusetts,Hampden County,-2.114305568903444e-4,-143,290,3773,68711.31914893657,676345,414405,0.6127124470499523,6658,6515,324,-7.644027826035529e-4
Tennessee,"Coffee, Franklin, Lincoln & Moore Counties",-2.1280800158085945e-4,-28,2200,357,65472.45454545455,131574,131574,1,843,815,37,-3.6481371699575906e-4
Pennsylvania,Berks County,-2.1466244330789832e-4,-86,2700,1286,77918.80000000024,400629,400629,1,2391,2305,98,-5.616168574915945e-4
Florida,Southwest Heartland,-2.1571458758892724e-4,-49,2790,364,53566.941176470595,227152,137614,0.6058234133971966,570,521,31,-2.1571458758892724e-4
Pennsylvania,Delaware County,-2.171153717683212e-4,-117,3300,2573,86354.70212765958,538884,538884,1,5947,5830,238,-5.826856985919047e-4
California,Sutter & Yuba Counties,-2.1984551396316102e-4,-37,10100,399,57864.19230769246,168300,168300,1,862,825,54,-4.991087344028521e-4
North Carolina,Rockingham & Stokes Counties,-2.2159846358398583e-4,-30,300,280,53330.64705882353,135380,135380,1,458,428,23,-2.2159846358398583e-4
Connecticut,Windham County,-2.3681302296209238e-4,-27,1500,425,71129.375,114014,114014,1,863,836,36,-4.7362604592418475e-4
Maryland,Allegany & Garrett Counties,-2.390700176314138e-4,-24,100,363,60309.33333333341,100389,100389,1,479,455,30,-2.390700176314138e-4
Pennsylvania,Crawford & Warren Counties,-2.4365514151647815e-4,-31,200,605,65165.38461538459,127229,127229,1,743,712,57,-3.536929473626296e-4
Indiana,Allen County,-2.4468660198594474e-4,-86,1000,1459,64688.63888888881,351470,351470,1,3518,3432,167,-3.6133951688622075e-4
Arkansas,Pulaski County,-2.491329888881025e-4,-88,900,1622,60607.62499999989,353225,353225,1,5560,5472,208,-4.699554108571024e-4
