state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,median_real_wage,mean_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Illinois,Champaign County,-0.0020155892441287753,-399,2100,1114,90187.88639078499,72059.7647058823,57457.71428571428,74883.60703924915,197957,197957,1,4705,4306,197,-0.003728082361320893
Alabama,"Houston, Dale, Geneva & Henry Counties",-0.0020261537506419914,-359,2500,1262,96873.45456517025,81088.49999999949,67790.36842105263,82712.31207980915,177183,177183,1,1398,1039,132,-0.0021616069261723753
Indiana,Tippecanoe County,-0.002030242852546679,-366,1200,772,89276.0833129135,69240.7777777777,56874.7037037037,75808.55329576084,180274,180274,1,2983,2617,122,-0.003722111896335578
New Mexico,Sandoval County,-0.002056523229364659,-264,600,477,101744.24813753582,86173,65661.83673469388,84001.39312320917,128372,128372,1,976,712,34,-0.0022512697472969185
Vermont,Southeast Vermont,-0.00209149909394982,-262,300,666,85936.41281202469,71895.57480314959,54458.619047619046,67538.69929319137,125269,125269,1,1639,1377,68,-0.002291069618181673
Kansas,East Central Kansas,-0.0021287709304502944,-216,1400,289,100379.68603465852,92569.68965517229,77091.46987951806,83700.34454638124,101467,101467,1,520,304,17,-0.00236530103383366
Virginia,Prince William County,-0.002149115556290296,-1014,51256,3067,136043.19991372182,125000,98019.43478260878,109058.7220045296,471822,356545,0.7556769290113644,6996,5982,292,-0.003342362162001772
Texas,Panhandle Regional Planning Commission,-0.0021873683528306166,-270,300,663,101356.53614962315,89214,74035.92307692289,84681.50162836141,123436,123436,1,1776,1506,80,-0.0023818010953044495
Florida,Apalachee Region,-0.0022048430140858906,-404,6300,496,79254.15334352844,68005.8,52623.549999999996,66354.93910746559,183233,183233,1,784,380,27,-0.002275790932855981
Michigan,Van Buren & Cass Counties,-0.002221516978736909,-266,2300,399,93684.72756503946,81047.14285714287,63626.36842105266,77835.08652440806,119738,119738,1,774,508,29,-0.002221516978736909
Michigan,"Isabella, Gratiot & Clare Counties",-0.002224212349884018,-303,1200,560,83622.66106973596,70885,59665.8461538462,70627.24278943805,136228,136228,1,1415,1112,59,-0.0022535748891564142
New Jersey,Mercer County,-0.0022336182336182334,-784,2300,1916,154464.2273703969,122670,95123.64285714316,124773.39282274198,351000,351000,1,6023,5239,208,-0.0040341880341880345
Iowa,Johnson County,-0.0022437604288706643,-316,1100,652,103769.20220752747,81050.85714285714,65145.2,86729.45338835579,140835,140835,1,3136,2820,97,-0.0031810274434622074
Alabama,Morgan & Lawrence Counties,-0.00227306210931745,-324,600,396,92363.56305097739,85000,72262.55319148937,79965.44883096972,142539,142539,1,1246,922,34,-0.002371280842436105
Pennsylvania,Northumberland & Montour Counties,-0.002279116376825732,-257,1000,439,94196.7705958971,76000,65609.26315789475,81013.3775643113,112763,112763,1,963,706,34,-0.0024032705763415304
Illinois,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties",-0.002283408579835479,-395,202,786,90446.75559940799,79076,66726.73846153844,77729.12955106069,172987,172987,1,1476,1081,64,-0.002283408579835479
Kentucky,Bluegrass Area Development District,-0.0022865150928435764,-248,2200,368,83863.07866889446,72909.79661016949,58947.627906976755,70565.94583681425,108462,108462,1,1233,985,50,-0.00237871328207114
