name,stname,household_inc_everyone,household_inc_minus_housing_lowskill
Sioux City city,Iowa,67781,52177
Dallas city,Texas,81309,52027
York County,South Carolina,72257,52024
Midland city,Texas,68262,51966
Hall County,Georgia,71301,51936
Marion city,Ohio,61886,51934
Youngstown city,Ohio,68035,51931
New Bedford city,Massachusetts,71937,51930
Bellingham city,Washington,69928,51891
Scarborough town,Maine,86920,51878
Ionia city,Michigan,63843,51814
Frederick County,Virginia,68091,51805
South Bend city,Indiana,72272,51799
Burlington city,Vermont,74094,51786
Greeley city,Colorado,73845,51785
Austin city,Texas,83663,51754
Newark city,New Jersey,94769,51685
York County,Virginia,76395,51628
Washington County,Maryland,68064,51534
Louisville city,Kentucky,73561,51380
Tampa city,Florida,74802,51362
Kansas City city,Kansas,61066,51361
Sacramento city,California,77339,51359
Bastrop County,Texas,61174,51347
Ashland city,Ohio,63778,51342
Salem city,Massachusetts,101266,51327
DeKalb County,Georgia,85920,51316
Bloomington city,Indiana,73291,51314
Kingston city,New York,70331,51301
Schenectady city,New York,79014,51276
Catawba County,North Carolina,67849,51272
Pahrump CDP,Nevada,64666,51229
Dickson County,Tennessee,63880,51219
Keene city,New Hampshire,67033,51203
Waterbury city,Connecticut,66682,51190
Fond du Lac city,Wisconsin,64641,51171
Hunt County,Texas,66551,51121
Carson City,Nevada,70433,51084
Mankato city,Minnesota,68170,51039
Bellefontaine city,Ohio,60847,51027
Northampton city,Massachusetts,78109,51026
Connersville city,Indiana,62820,51023
New Braunfels city,Texas,67251,50888
Gillette city,Wyoming,60946,50877
Barnstable Town city,Massachusetts,73950,50861
Randolph County,North Carolina,62994,50831
Huntsville city,Alabama,75766,50800
Ames city,Iowa,71562,50798
Muncie city,Indiana,66714,50786
Victoria city,Texas,63946,50727
Framingham CDP,Massachusetts,102074,50711
Atlanta city,Georgia,101849,50701
NA,Arkansas,67730,50675
Memphis city,Tennessee,76311,50644
Pawtucket city,Rhode Island,72903,50611
NA,Kansas,66290,50605
Ashtabula city,Ohio,62035,50538
Moline city,Illinois,66430,50509
Willmar city,Minnesota,64225,50498
Burlington city,Iowa,63450,50495
Cleveland city,Ohio,76582,50492
Riverside city,California,78767,50460
Alexandria city,Virginia,98714,50431
Rochester city,Indiana,61007,50408
Geneseo village,New York,64681,50399
Battle Creek city,Michigan,67692,50397
Richland County,South Carolina,73659,50388
Vassar township,Michigan,61284,50364
Hanford city,California,62247,50363
Decatur city,Alabama,66039,50334
Beaumont city,Texas,66353,50309
Spartanburg County,South Carolina,67121,50296
Elmira city,New York,65372,50294
Greenfield CDP,Massachusetts,68170,50292
Chambersburg borough,Pennsylvania,63507,50265
Polk County,Florida,63640,50233
Chicopee city,Massachusetts,66302,50221
Taylorville city,Illinois,60324,50213
Tupelo city,Mississippi,62455,50128
Findlay city,Ohio,66435,50100
Mount Pleasant city,Michigan,64438,50066
Galesburg city,Illinois,60498,50064
Longview city,Washington,65227,50057
Burke County,North Carolina,62069,50042
Rocky Mount city,North Carolina,64777,50036
Whitfield County,Georgia,64314,50025
Crawfordsville city,Indiana,63311,50021
Anderson County,South Carolina,64652,50019
Greenville County,South Carolina,73965,50009
Duluth city,Minnesota,67017,49975
Pittsfield city,Massachusetts,71165,49906
Washington city,Pennsylvania,70047,49884
St. Joseph city,Missouri,63646,49882
Canton city,Ohio,67635,49810
Modesto city,California,73203,49763
Dubuque city,Iowa,63798,49703
Lexington-Fayette,Kentucky,80346,49694
Rowan County,North Carolina,64085,49693
Manitowoc city,Wisconsin,62211,49641
Marquette city,Michigan,63527,49619
Sioux Falls city,South Dakota,65579,49618
Tuscaloosa city,Alabama,68348,49579
Uintah County,Utah,70082,49574
Springfield city,Massachusetts,62895,49513
McMinnville city,Oregon,69595,49370
Stevens Point city,Wisconsin,65561,49365
Worcester city,Massachusetts,68437,49332
Henderson city,Kentucky,58635,49316
Davis city,California,78926,49312
Floyd County,Georgia,63178,49305
Alamance County,North Carolina,67974,49298
Grand Forks city,North Dakota,59881,49285
Manatee County,Florida,67450,49282
NA,California,68394,49273
Winston-Salem city,North Carolina,75696,49265
Richmond city,Indiana,62759,49218
Stokes County,North Carolina,62847,49210
Waterloo city,Iowa,64423,49201
Orange County,North Carolina,83942,49201
Savannah city,Georgia,70145,49169
Rio Rancho city,New Mexico,64694,49141
Niles township,Michigan,66642,49104
Menomonie city,Wisconsin,68495,49001
Pittsburgh city,Pennsylvania,76141,48919
Altoona city,Pennsylvania,60452,48883
Plattsburgh city,New York,63212,48876
Jefferson City city,Missouri,65731,48856
Erie city,Pennsylvania,65735,48829
Roane County,Tennessee,62309,48828
Tulsa city,Oklahoma,68366,48824
Terre Haute city,Indiana,65320,48807
Owensboro city,Kentucky,61903,48803
Santa Cruz city,California,90275,48793
NA,New Jersey,75825,48756
Geneva city,New York,77909,48742
Glynn County,Georgia,65106,48740
Baton Rouge city,Louisiana,73592,48707
Lake Charles city,Louisiana,67122,48696
Grand Rapids city,Minnesota,60399,48692
Emporia city,Kansas,59761,48690
Somerville city,Massachusetts,69468,48685
Zanesville city,Ohio,59556,48681
Metairie CDP,Louisiana,68432,48665
St. Petersburg city,Florida,70455,48612
Biddeford city,Maine,67855,48593
Birmingham city,Alabama,74091,48584
Greencastle city,Indiana,61627,48569
Bedford city,Indiana,59716,48559
Austin city,Minnesota,65224,48410
Council Bluffs city,Iowa,61820,48400
Oklahoma City city,Oklahoma,66537,48367
