res_stname,res_state,res_puma,place_name,pop,real_wage_high_skill,real_wage_low_skill,nominal_wage_everyone,nominal_wage_high_skill,nominal_wage_low_skill,n_move_in_high_skill,n_move_in_low_skill,n_move_out_high_skill,n_move_out_low_skill,net_mig_low_skill,net_mig_high_skill
California,6,1700,El Dorado County,43356,106123.34468300441,50725.11531540795,97393.54359451988,134761.81442926335,70818.28831422549,1707,2701,1882,3782,-0.02493311191069287,-0.0040363502168096685
Virginia,51,51115,George Washington Regional Commission,43345,115569.86751853813,70060.43273068796,114536.6482576229,141477.26608845338,90651.28246067151,2311,3452,2386,3056,0.009136001845656938,-0.0017303033798592687
Delaware,10,300,Sussex County,43323,85157.15908607864,46036.49844563612,71279.3705326656,103731.4655685441,59412.80434444704,1687,2889,1077,2526,0.008378921127345751,0.014080280682316553
South Carolina,45,1400,Beaufort & Jasper Counties,43221,76074.7069687738,39127.04803554075,66416.316102513,97226.20925361766,51439.81938081355,1920,3951,1386,3851,0.0023136901043474237,0.012355105157215242
Arizona,4,700,Yuma County,43195,78902.50915141431,40089.99674628998,59382.420371761786,95408.88740987243,51650.210221411,1364,5234,960,5026,0.004815372149554346,0.009352934367403636
Illinois,17,900,"Jackson, Williamson, Franklin & Perry Counties",43092,66027.78083868993,45078.393834887385,61180.47128094208,78362.14753596572,54010.64929535488,1391,2888,2059,3466,-0.013413162535969553,-0.01550171725610322
Maine,23,500,Coastal Maine Region,43054,62245.72784189485,38852.37979678853,60597.41628190239,77197.48796862035,50615.23582509299,1377,2412,1715,2247,0.003832396525293817,-0.007850606215450365
Wisconsin,55,2400,Rock County,43005,81669.77084059993,45192.467120181405,67971.88488452413,96361.44157656087,58084.511337868484,987,3964,918,3839,0.0029066387629345424,0.0016044645971398674
Minnesota,27,2500,Olmsted County,42741,115127.32463295269,55226.274409160134,99402.92948584667,133342.03262642742,68892.38597777652,1892,2637,1874,2671,-7.954891088182307e-4,4.211412929037692e-4
Texas,48,5400,Capital Area COG,42727,83593.75599822275,52505.566439885195,82730.592982239,104034.01251481043,67439.77883491018,2718,3182,1740,2769,0.009666019144803051,0.02288950780536897
Ohio,39,3800,Licking County,42453,90944.30618762475,53012.5010268735,79403.54152864307,108776.91576846308,66542.66279222198,1184,3703,1345,3316,0.009115963536145855,-0.0037924292747273454
Indiana,18,200,Porter County,42376,96607.5158492823,61583.30348497405,87308.21220304014,113898.17135167464,75673.43791163257,1573,3241,1651,2952,0.006819898055503115,-0.0018406645270908062
Ohio,39,4700,Greene County,42369,93177.44345497154,50377.99952069978,86031.21621450705,111455.19504519585,63282.00263615122,2520,2694,2588,2941,-0.005829734003634733,-0.0016049470131464041
Wisconsin,55,1401,Fond du Lac & Calumet Counties,42216,86392.0153506668,52198.697173728986,76189.01067393403,102124.09133646743,65290.27480546708,858,2321,1026,2785,-0.010991093424294107,-0.003979533826037522
Virginia,51,51040,New River Valley Planning District Commission,42102,85734.1781240213,48031.20319059614,76313.89809707216,101476.32720012528,58324.838790931986,2465,2735,3074,3191,-0.01083083939005273,-0.014464871027504631
Georgia,13,1500,Middle Georgia Regional Commission,42034,80489.32489153466,47337.26975004561,70548.66483430188,96186.73181313692,58958.677522349935,1406,3628,1645,3520,0.002569348622543655,-0.005685873340629015
Maryland,24,400,Carroll County,41897,109596.71658507142,66210.60462389796,106433.501034911,135168.918583596,86340.00023447759,1387,1569,1151,1555,3.3415280330333915e-4,0.005632861541399145
Illinois,17,202,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties",41895,81038.38126794787,46192.61105092091,65819.61430454467,94114.2301745085,55907.08326884383,1081,2213,1476,2227,-3.341687552213868e-4,-0.009428332736603413
Florida,12,2790,Southwest Heartland,41885,73140.82249240122,37476.7049529558,52666.009969788516,86862.852887538,46674.125723415586,521,3541,570,4153,-0.014611436074967172,-0.001169869881819267
South Carolina,45,800,"Sumter, Clarendon, Williamsburg & Lee Counties",41870,64345.21838770558,36392.825986436495,52120.88372789931,76687.48045295228,45098.88101109741,563,3518,995,3424,0.0022450441843802245,-0.010317649868641032
Missouri,29,2800,Jasper & Newton Counties,41784,80251.96493390096,43988.39733002439,65185.437192308884,94207.08436029576,54101.30631979804,942,3521,1413,3611,-0.00215393452039058,-0.011272257323377369
Louisiana,22,200,Coordinating & Development Corporation 3,41761,80061.36288848263,43146.40456404168,66430.34760195158,95114.15021328458,54012.42909906345,1800,3184,1453,2735,0.010751658245731663,0.008309187998371687
