statefip,sea,skill,hhinc,cost,costShared,incShared,stay,inMig,outMig,year,index,basePop,basePopTot,netMig,lr,lincShared
Arkansas,027,0,4433.9653,1302.874,88.392921,5683.5669,91700,10822,9018,1940,16.39529854910714,100718,114868,.015704984,8.0491371,8.6453342
Arkansas,027,1,16368.383,2892.6704,88.392921,5683.5669,11672,2300,2478,1940,16.39529854910714,14150,114868,-.0015496048,9.5086441,8.6453342
Arkansas,029,1,15765.441,2622.073,81.437271,6577.2827,7760,900,1388,1940,16.39529854910714,9148,56649,-.0086144507,9.4836721,8.7913771
Arkansas,029,0,4739.5933,1091.2399,81.437271,6577.2827,41800,5478,5701,1940,16.39529854910714,47501,56649,-.0039365212,8.2020311,8.7913771
California,030,1,18462.863,4329.8228,188.27701,16775.793,6457,2056,1200,1940,16.39529854910714,7657,26346,.0324907,9.5562706,9.7276926
California,030,0,15347.196,2423.3203,188.27701,16775.793,15857,3552,2832,1940,16.39529854910714,18689,26346,.027328627,9.4668322,9.7276926
California,031,0,16231.748,2291.1958,173.58859,16782.988,25561,4894,2800,1940,16.39529854910714,28361,39461,.05306505,9.5425577,9.7281208
California,031,1,18300.697,4442.6826,173.58859,16782.988,9400,3400,1700,1940,16.39529854910714,11100,39461,.043080509,9.5366192,9.7281208
California,032,0,25046.689,4638,324.86334,29668.023,398407,46387,27085,1940,16.39529854910714,425492,727212,.026542466,9.9237156,10.297825
California,032,1,32501.998,6210.1255,324.86334,29668.023,269399,38463,32321,1940,16.39529854910714,301720,727212,.0084459549,10.177015,10.297825
California,033,1,24955.605,4895.1074,245.59531,21311.953,22827,8012,6400,1940,16.39529854910714,29227,77313,.02085031,9.9065075,9.9670238
California,033,0,17289.469,3406.9214,245.59531,21311.953,42642,10211,5444,1940,16.39529854910714,48086,77313,.061658453,9.5383873,9.9670238
California,034,1,22839.373,4095.3374,198.23946,16523.611,16488,6887,3800,1940,16.39529854910714,20288,67177,.045953229,9.8386307,9.7125454
California,034,0,12720.719,2836.3706,198.23946,16523.611,40935,9891,5954,1940,16.39529854910714,46889,67177,.058606368,9.1987076,9.7125454
California,035,1,14723.369,3726.2297,169.88353,14707.417,13784,3914,4264,1940,16.39529854910714,18048,56017,-.0062481035,9.3053904,9.5961075
California,035,0,14302.842,2396.3997,169.88353,14707.417,32301,7699,5668,1940,16.39529854910714,37969,56017,.03625685,9.3848352,9.5961075
California,036,1,32599.082,4919.1836,247.59929,26542.594,17693,7921,3357,1940,16.39529854910714,21050,60881,.074965917,10.228461,10.186506
California,036,0,20641.764,3466.5657,247.59929,26542.594,33413,7294,6418,1940,16.39529854910714,39831,60881,.014388725,9.7512217,10.186506
California,037,1,19259.002,2912.5767,147.39677,14008.38,12544,4200,2374,1940,16.39529854910714,14918,46995,.038855199,9.7017641,9.547411
California,037,0,11428.569,2181.7607,147.39677,14008.38,29038,7943,3039,1940,16.39529854910714,32077,46995,.10435153,9.1320333,9.547411
California,038,0,18276.391,2427.3171,173.41992,21998.66,29695,6910,5070,1940,16.39529854910714,34765,49513,.037161957,9.670866,9.9987364
California,038,1,24880.811,3698.9392,173.41992,21998.66,12048,2374,2700,1940,16.39529854910714,14748,49513,-.0065841293,9.9609013,9.9987364
California,039,1,29025.627,4220.9053,200.43073,22243.535,24834,12998,6300,1940,16.39529854910714,31134,106919,.062645555,10.11879,10.009807
California,039,0,18898.971,2941.918,200.43073,22243.535,65147,23972,10638,1940,16.39529854910714,75785,106919,.12471123,9.6776562,10.009807
California,040,0,13740.206,2391.1511,174.9816,18390.941,41946,9243,5532,1940,16.39529854910714,47478,68929,.053838007,9.3368902,9.8196135
California,040,1,28082.959,3831.2068,174.9816,18390.941,17105,5400,4346,1940,16.39529854910714,21451,68929,.015291097,10.096244,9.8196135
California,041,1,23279.1,4447.7109,241.1893,21101.705,15400,7200,4000,1940,16.39529854910714,19400,53696,.059594754,9.8432808,9.9571095
California,041,0,19247.146,3685.4934,241.1893,21101.705,30444,8645,3852,1940,16.39529854910714,34296,53696,.08926177,9.652565,9.9571095
California,042,0,20452.578,4055.7793,289.85471,24836.604,719063,132107,54142,1940,16.39529854910714,773205,1342486,.058075093,9.7048416,10.120073
California,042,1,28230.426,5602.7173,289.85471,24836.604,514814,111890,54467,1940,16.39529854910714,569281,1342486,.04277363,10.026931,10.120073
California,043,0,17390.947,3695.3704,247.38142,19811.945,54576,17951,11489,1940,16.39529854910714,66065,114849,.056265183,9.524828,9.8940401
California,043,1,22850.613,4647.4087,247.38142,19811.945,38249,14777,10535,1940,16.39529854910714,48784,114849,.036935456,9.8093529,9.8940401
California,044,1,22141.752,3895.592,388.56863,18425.703,19574,6100,2500,1940,16.39529854910714,22074,59515,.060488954,9.8117104,9.8215017
California,044,0,15318.131,8006.1904,388.56863,18425.703,34641,10208,2800,1940,16.39529854910714,37441,59515,.12447282,8.8972635,9.8215017
California,045,1,27594.932,4156.2188,187.41898,18477.5,19029,5470,4187,1940,16.39529854910714,23216,65126,.019700274,10.062144,9.8243093
California,045,0,13349.869,2277.675,187.41898,18477.5,33285,11249,8625,1940,16.39529854910714,41910,65126,.040291127,9.312192,9.8243093
California,046,0,16073.762,1978.2053,139.45247,17461.697,49506,20715,5951,1940,16.39529854910714,55457,78810,.18733664,9.5536146,9.767765
California,046,1,19245.012,3093.9988,139.45247,17461.697,17753,8100,5600,1940,16.39529854910714,23353,78810,.031721864,9.6897383,9.767765
Colorado,047,1,18031.045,3147.2666,112.26428,13412.894,8500,3458,2977,1940,16.39529854910714,11477,34993,.013745606,9.6080275,9.5039721
